rokeach_value,schwartz_value
Achievement,Achievement
Ambition,Achievement
Hard Work,Achievement
Recognition,Achievement
Success,Achievement
Wealth,Achievement
Care,Benevolence
Compassion,Benevolence
Fairness,Benevolence
Forgiveness,Benevolence
Friendship,Benevolence
Honesty,Benevolence
Humility,Benevolence
Integrity,Benevolence
Kindness,Benevolence
Love,Benevolence
Solidarity,Benevolence
Duty,Conformity
Loyalty,Conformity
Obedience,Conformity
Restraint,Conformity
Happiness,Hedonism
Pleasure,Hedonism
Vanity,Hedonism
Greed,Hedonism
Desire,Hedonism
Envy,Hedonism
Laziness,Hedonism
Authority,Power
Harm,Power
Power,Power
Belonging,Security
Comfort,Security
Order,Security
Security,Security
Authenticity,Self-Direction
Autonomy,Self-Direction
Courage,Self-Direction
Creativity,Self-Direction
Curiosity,Self-Direction
Freedom,Self-Direction
Inner Harmony,Self-Direction
Resilience,Self-Direction
Self-Knowledge,Self-Direction
Self-Respect,Self-Direction
Wisdom,Self-Direction
Adventure,Stimulation
Courage,Stimulation
Excitement,Stimulation
Confronting the past,Tradition
Faith,Tradition
Family,Tradition
Redemption,Tradition
Respect for Tradition,Tradition
Beauty,Universalism
Dignity,Universalism
Equality,Universalism
Justice,Universalism
Knowledge,Universalism
Nature,Universalism
Peace,Universalism
Reckoning,Universalism
Truth,Universalism
